sequential_id,gender,treatment,customer_signup,country,commercial_communications,communications_signup,loyalty_level,loyalty_signup,birth_date,email,total_reservations,average_stay,average_advance_booking,billing,reservation_channel,travel_reason,last_reservation,different_hotels,companion,language_name,age
2.519.261,hombre,Señor,2023-06-08,ES,True,,,,1995-01-09,True,4,2,1,1809.84436632,Indirecto,LEISURE,2024-01-28,1.0,Pareja,Spanish,29
2.124.739,mujer,Señora,2023-07-26,NL,True,,,,1987-12-11,True,2,1,22,580.38108912,Indirecto,LEISURE,2023-07-29,2.0,Familia,Dutch,36
3.906.660,mujer,Señora,2022-11-12,ES,True,,,,1969-10-12,True,3,1,5,760.52167392,Mixto Indirecto,LEISURE,2024-03-24,3.0,Pareja,Spanish,54
2.099.386,mujer,Señora,2023-07-29,ES,True,,,,1993-05-03,False,2,2,5,2227.41818152,Directo,LEISURE,2023-08-12,2.0,Pareja,Spanish,31
3.335.453,hombre,Señor,2023-02-15,ES,True,,,,1990-06-22,False,2,1,19,416.61963532,Indirecto,MIXTO,2024-01-02,2.0,Pareja,Spanish,34
3.962.782,hombre,Señor,2022-11-04,IS,True,,,,1971-11-08,True,2,3,13,939.322190161,Indirecto,MIXTO,2024-02-18,2.0,Pareja,English,52
3.335.553,hombre,Señor,2023-02-15,BR,True,,,,1971-08-27,True,2,2,2,425.5891086624,Indirecto,LEISURE,2023-02-20,1.0,Pareja,Portuguese,52
3.587.184,hombre,Señor,2023-01-02,ES,True,,,,1969-03-05,False,2,2,1,638.6309076,Mixto Directo,LEISURE,2023-11-12,2.0,Pareja,Spanish,55
1.543.724,mujer,Señora,2023-09-29,GR,True,,,,1994-04-04,True,2,2,7,1198.46727556,Mixto Directo,LEISURE,2023-10-03,1.0,Familia,Spanish,30
714.319,hombre,Señor,2024-01-26,IT,True,2024-04-07,bajo,,1991-04-02,True,3,2,5,1188.5581472293,Mixto Directo,MIXTO,2024-04-15,2.0,Individual,Italian,33
2.664.769,hombre,Señor,2023-05-19,ES,True,,,,1989-01-02,True,3,1,16,384.43090924,Mixto Indirecto,MIXTO_BT,2024-01-09,3.0,Individual,Spanish,35
5.720.313,hombre,Señor,2022-03-06,ES,True,,,,1965-06-09,True,3,2,11,1085.47416524,Mixto Directo,LEISURE,2023-08-24,3.0,Pareja,Spanish,59
4.068.551,hombre,Señor,2022-10-21,NG,True,,,,1978-06-20,False,2,2,3,995.3092678,Indirecto,LEISURE,2022-11-09,1.0,Pareja,Spanish,46
4.026.545,mujer,Señora,2022-10-26,ES,True,,,,1986-05-21,False,5,1,49,415.06909076,Directo,BT,2023-11-26,3.0,Individual,Spanish,38
2.457.170,hombre,Señor,2023-06-16,ES,True,,,,1996-11-14,False,12,1,98,1442.29211896,Directo,BT,2024-04-16,3.0,Individual,Spanish,27
3.017.837,hombre,Señor,2023-04-04,ES,True,2023-10-18,,,1968-10-06,True,14,2,13,2413.15769024,Indirecto,MIXTO_BT,2024-04-26,6.0,Individual,Spanish,55
1.414.973,hombre,Señor,2023-10-13,IQ,True,,,,1980-12-17,False,2,1,0,582.64727392,Directo,LEISURE,2023-11-05,1.0,Pareja,Arabic,43
3.961.731,hombre,Señor,2022-11-04,RO,True,2024-02-04,,,2003-09-08,True,2,3,1,1292.17494364,Indirecto,LEISURE,2023-12-28,2.0,Pareja,Romanian/Moldovan,20
5.358.504,hombre,Señor,2022-05-08,PT,True,,,,1960-06-06,True,2,3,4,1098.63518,Mixto Directo,BT,2022-05-18,1.0,Individual,Portuguese,64
2.700.478,hombre,Señor,2023-05-15,ES,True,,,,1955-07-29,False,2,10,170,1393.0666678,Directo,LEISURE,2024-04-26,1.0,Pareja,Spanish,68
4.546.752,hombre,Señor,2022-08-22,ES,True,,,,1994-12-17,False,3,2,28,1085.4347708,Mixto Indirecto,LEISURE,2024-03-29,3.0,Pareja,Spanish,29
1.339.939,mujer,Señora,2023-10-23,GB,True,,,,1985-03-16,False,2,1,11,1282.77818316,Mixto ,LEISURE,2023-10-24,1.0,Pareja,English,39
499.748,hombre,Señor,2024-02-27,PT,True,,bajo,,1972-08-07,True,2,3,26,1484.94545544,Directo,LEISURE,2024-03-26,1.0,Pareja,Portuguese,51
215.091,hombre,Señor,2024-04-05,DE,True,2024-05-21,,,1968-01-29,False,2,1,2,682.22509076,Indirecto,LEISURE,2024-04-09,2.0,Pareja,German,56
4.245.159,mujer,Señora,2022-09-28,JP,True,,,,1941-11-16,False,2,2,266,2018.67897824,Indirecto,LEISURE,2022-10-06,2.0,Pareja,English,82
5.637.119,mujer,Señora,2022-03-24,ES,True,,,,1977-01-31,False,3,1,35,481.20745848,Mixto Indirecto,BT,2024-04-05,3.0,Individual,Spanish,47
5.101.191,hombre,Señor,2022-06-16,ES,True,,,,1965-11-20,True,2,2,20,939.00674104,Mixto Directo,MIXTO,2022-11-09,2.0,Individual,Spanish,58
2.026.014,mujer,Señora,2023-08-06,PL,True,,,,1967-02-12,False,2,2,26,1003.53090596,Mixto Directo,LEISURE,2023-11-12,1.0,Pareja,Latvian,57
2.171.225,hombre,Señor,2023-07-21,NL,True,,,,1967-05-19,False,2,2,42,721.3018152,Mixto ,LEISURE,2023-07-24,1.0,Pareja,Dutch,57
3.200.032,hombre,Señor,2023-03-08,IN,True,,,,1987-09-14,True,3,2,9,1135.32727064,Indirecto,MIXTO_BT,2024-04-11,1.0,Individual,English,36
4.218.963,mujer,Señora,2022-10-01,ES,True,,,,1967-08-08,False,2,2,13,815.79205848,Directo,LEISURE,2024-01-14,1.0,Pareja,Spanish,56
1.030.919,hombre,Señor,2023-12-07,AL,True,,,,1983-09-30,False,2,2,1,1070.47272772,Indirecto,BT,2023-12-12,1.0,Individual,English,40
2.145.350,hombre,Señor,2023-07-24,DE,True,,,,1965-05-01,False,2,3,14,840.2018152,Indirecto,BT,2023-11-09,1.0,Individual,German,59
385.213,mujer,Señora,2024-03-14,ES,True,,,,1994-12-12,False,2,1,16,403.88727228,Indirecto,MIXTO,2024-04-19,1.0,Individual,Spanish,29
4.757.800,mujer,Señora,2022-07-31,ES,True,,,,1962-08-04,False,2,2,0,395.83636468,Directo,MIXTO,2022-08-07,1.0,Individual,Spanish,61
4.353.693,hombre,Señor,2022-09-15,MX,True,,,,1987-09-26,True,4,2,1,885.5151774778,Indirecto,LEISURE,2024-03-04,2.0,Pareja,Spanish,36
3.457.477,hombre,Señor,2023-01-25,PT,True,,,,1974-06-14,False,2,1,6,410.5941146,Mixto Directo,MIXTO,2023-04-30,2.0,Grupo,Portuguese,50
4.562.746,hombre,Señor,2022-08-20,ES,True,,,,1963-01-05,False,2,5,46,1157.84370804,Indirecto,MIXTO,2022-11-19,2.0,Individual,Spanish,61
1.544.297,hombre,Señor,2023-09-29,FR,True,,,,1949-12-22,False,3,1,0,435.66717916,Mixto Directo,LEISURE,2023-10-08,3.0,Pareja,French,74
1.205.424,hombre,Señor,2023-11-11,ES,True,,,,1995-11-20,True,2,1,26,399.20581848,Mixto Indirecto,LEISURE,2024-01-07,2.0,Pareja,Spanish,28
4.489.578,hombre,Señor,2022-08-29,DE,True,,,,1971-01-10,False,3,2,22,1322.22633316,Mixto Indirecto,BT,2023-09-05,2.0,Individual,German,53
672.206,mujer,Señora,2024-02-02,ES,True,,,,1984-06-13,True,2,1,18,451.93927392,Mixto Directo,MIXTO,2024-04-26,2.0,Individual,Spanish,40
5.410.329,hombre,Señor,2022-04-30,IT,True,,,,1976-09-13,False,2,1,0,615.02477548,Indirecto,LEISURE,2022-07-17,1.0,Familia,Italian,47
1.418.424,mujer,Señora,2023-10-13,CO,True,,,,1964-01-02,True,2,3,4,1644.92,Mixto Indirecto,MIXTO,2023-10-24,1.0,Individual,Spanish,60
1.400.446,hombre,Señor,2023-10-15,ES,True,,,,1966-01-02,False,2,2,22,586.2254538,Indirecto,LEISURE,2023-10-20,2.0,Pareja,Spanish,58
